local_time LA (airport),Ff,N,VV,Td,RRR
13.11.2018 04:00,0,Cloudless,16,-6.1,
12.11.2018 22:00,0,Cloudless,16,-6.7,
12.11.2018 16:00,6,20-0%.,16,3,
12.11.2018 10:00,0,20-0%.,16,-12.8,
12.11.2018 04:00,0,20-0%.,16,1,
11.11.2018 22:00,2,Cloudless,16,11.7,
11.11.2018 16:00,4,20-0%.,16,14,
11.11.2018 10:00,3,50%.,8,1,
11.11.2018 04:00,3,50%.,12,1.1,
10.11.2018 22:00,2,50%.,16,9.4,
10.11.2018 16:00,6,70 -80%.,9,9,
10.11.2018 10:00,3,50%.,16,-14,
10.11.2018 04:00,3,50%.,16,-15,
09.11.2018 22:00,0,50%.,16,-7.8,
09.11.2018 16:00,3,50%.,16,1,
09.11.2018 10:00,3,50%.,16,-12,
09.11.2018 04:00,0,20-0%.,16,2.2,
08.11.2018 22:00,0,Cloudless,16,8.3,
08.11.2018 16:00,5,Cloudless,12,13.9,
08.11.2018 10:00,4,70 -80%.,8,13.3,
08.11.2018 04:00,3,100%.,14,13.9,
07.11.2018 22:00,2,50%.,16,13.9,
07.11.2018 16:00,5,70 -80%.,16,13.3,
07.11.2018 10:00,3,70 -80%.,12,13.9,
07.11.2018 04:00,2,100%.,16,15,
06.11.2018 22:00,0,20-0%.,16,15,
06.11.2018 16:00,6,Cloudless,16,14.4,
06.11.2018 10:00,3,20-0%.,16,12.8,
06.11.2018 04:00,3,100%.,16,13.9,
05.11.2018 22:00,0,100%.,16,13.9,
05.11.2018 16:00,4,Cloudless,16,15,
05.11.2018 10:00,2,50%.,9,13.9,
05.11.2018 04:00,3,100%.,4.8,15,
04.11.2018 22:00,2,70 -80%.,14,16.7,
04.11.2018 16:00,3,70 -80%.,16,16.1,
04.11.2018 10:00,0,70 -80%.,12,14.4,
04.11.2018 04:00,2,20-0%.,16,12.2,
03.11.2018 22:00,0,20-0%.,16,13.9,
03.11.2018 16:00,4,20-0%.,16,12.2,
03.11.2018 10:00,2,20-0%.,16,7.2,
03.11.2018 04:00,0,Cloudless,16,12.8,
02.11.2018 22:00,2,20-0%.,16,14.4,
02.11.2018 16:00,4,20-0%.,16,6.1,
02.11.2018 10:00,2,20-0%.,16,3.3,
02.11.2018 04:00,3,20-0%.,16,7.8,
01.11.2018 22:00,3,70 -80%.,16,15,
01.11.2018 16:00,6,70 -80%.,16,12.2,Signs of precipitation
01.11.2018 10:00,2,50%.,16,6.7,
01.11.2018 04:00,3,20-0%.,16,8.3,
31.10.2018 22:00,2,20-0%.,16,12.8,
31.10.2018 16:00,5,50%.,16,10.6,
31.10.2018 10:00,2,20-0%.,9,12.2,
31.10.2018 04:00,2,20-0%.,8,13.3,
30.10.2018 22:00,3,20-0%.,12,15,
30.10.2018 16:00,5,Cloudless,9,15,
30.10.2018 10:00,0,50%.,12,12.2,
30.10.2018 04:00,3,20-0%.,14,13.3,
29.10.2018 22:00,2,50%.,4,15,
29.10.2018 16:00,4,20-0%.,16,15,
29.10.2018 10:00,0,70 -80%.,3.2,15,
29.10.2018 04:00,3,The sky is not visible due to fog and/or other meteorological phenomena.,0.1,15,
28.10.2018 22:00,0,70 -80%.,11,16.1,
28.10.2018 16:00,4,50%.,9,15,
28.10.2018 10:00,3,70 -80%.,4,15.6,
28.10.2018 04:00,0,100%.,1.6,15.6,
27.10.2018 23:00,0,100%.,4,16.1,
27.10.2018 17:00,5,100%.,11,15.6,
27.10.2018 11:00,4,70 -80%.,9,16.7,
27.10.2018 05:00,0,20-0%.,14,15,
26.10.2018 23:00,2,70 -80%.,3.2,17.2,
26.10.2018 17:00,5,70 -80%.,0.8,16.7,
26.10.2018 11:00,4,20-0%.,9,16.1,
26.10.2018 05:00,0,20-0%.,4,15.6,
25.10.2018 23:00,2,50%.,12,17.2,
25.10.2018 17:00,6,20-0%.,16,16.1,
25.10.2018 11:00,4,20-0%.,8,15.6,
25.10.2018 05:00,3,100%.,4,16.1,
24.10.2018 23:00,0,70 -80%.,12,17.2,
24.10.2018 17:00,5,20-0%.,16,16.7,
24.10.2018 11:00,0,20-0%.,9,16.1,
24.10.2018 05:00,2,50%.,16,14.4,
23.10.2018 23:00,0,70 -80%.,16,16.7,
23.10.2018 17:00,6,20-0%.,16,15.6,
23.10.2018 11:00,4,70 -80%.,9,15.6,
23.10.2018 05:00,0,100%.,12,15.6,
22.10.2018 23:00,0,70 -80%.,14,16.1,
22.10.2018 17:00,6,50%.,16,15,
22.10.2018 11:00,0,20-0%.,14,14.4,
22.10.2018 05:00,2,100%.,11,15,
21.10.2018 23:00,2,20-0%.,16,16.1,
21.10.2018 17:00,5,20-0%.,16,15.6,
21.10.2018 11:00,0,20-0%.,16,13.3,
21.10.2018 08:00,0,Cloudless,16,12.2,
21.10.2018 05:00,0,Cloudless,16,12.2,
20.10.2018 23:00,3,20-0%.,16,11.7,
20.10.2018 17:00,6,20-0%.,16,12.2,
20.10.2018 11:00,0,Cloudless,16,0,
20.10.2018 05:00,0,Cloudless,16,7.8,
19.10.2018 23:00,2,Cloudless,16,12.8,
19.10.2018 17:00,7,Cloudless,16,0,
19.10.2018 11:00,2,Cloudless,16,0,
19.10.2018 05:00,2,Cloudless,16,6.1,
18.10.2018 23:00,0,Cloudless,16,12.8,
18.10.2018 17:00,7,Cloudless,16,10,
18.10.2018 11:00,0,Cloudless,16,2.2,
18.10.2018 05:00,2,Cloudless,16,3.9,
17.10.2018 23:00,2,Cloudless,16,14.4,
17.10.2018 17:00,6,Cloudless,16,13.3,
17.10.2018 11:00,2,Cloudless,16,-1.1,
17.10.2018 05:00,2,Cloudless,16,6.7,
16.10.2018 23:00,2,Cloudless,16,10.6,
16.10.2018 17:00,6,20-0%.,16,11.1,
16.10.2018 11:00,2,Cloudless,16,-10.6,
16.10.2018 05:00,2,Cloudless,16,1.7,
15.10.2018 23:00,5,Cloudless,16,3.9,
15.10.2018 17:00,6,Cloudless,16,-21.1,
15.10.2018 11:00,4,20-0%.,16,-9.4,
15.10.2018 05:00,2,50%.,16,13.9,
14.10.2018 23:00,4,50%.,16,15.6,
14.10.2018 17:00,5,20-0%.,16,14.4,
14.10.2018 11:00,3,70 -80%.,16,15.6,
14.10.2018 05:00,0,70 -80%.,16,15.6,
13.10.2018 23:00,2,70 -80%.,16,15,
13.10.2018 17:00,4,70 -80%.,16,13.9,Signs of precipitation
13.10.2018 11:00,5,100%.,16,15,1
13.10.2018 05:00,5,100%.,16,13.9,5
12.10.2018 23:00,4,100%.,11,16.7,8
12.10.2018 20:00,9,50%.,16,15.6,
12.10.2018 17:00,9,50%.,16,15.6,
12.10.2018 11:00,4,50%.,16,10.6,
12.10.2018 05:00,2,Cloudless,16,9.4,
11.10.2018 23:00,2,20-0%.,16,10.6,
11.10.2018 17:00,7,20-0%.,16,10,
11.10.2018 11:00,6,50%.,16,10,
11.10.2018 05:00,2,70 -80%.,16,11.1,
10.10.2018 23:00,2,70 -80%.,16,11.7,
10.10.2018 17:00,6,20-0%.,16,12.2,
10.10.2018 11:00,3,70 -80%.,14,11.7,
10.10.2018 05:00,0,70 -80%.,16,12.8,
09.10.2018 23:00,2,20-0%.,16,14.4,
09.10.2018 17:00,6,50%.,16,14.4,
09.10.2018 11:00,3,70 -80%.,14,12.8,
09.10.2018 05:00,3,100%.,16,13.9,
08.10.2018 23:00,3,70 -80%.,16,15,
08.10.2018 17:00,5,20-0%.,16,15,
08.10.2018 11:00,2,70 -80%.,12,15,
08.10.2018 05:00,2,70 -80%.,16,14.4,
07.10.2018 23:00,2,20-0%.,16,14.4,
07.10.2018 17:00,6,50%.,16,15,
07.10.2018 11:00,4,50%.,16,15.6,
07.10.2018 05:00,2,20-0%.,16,15.6,
06.10.2018 23:00,2,70 -80%.,16,16.1,
06.10.2018 17:00,5,70 -80%.,16,16.1,
06.10.2018 11:00,2,70 -80%.,16,15.6,
06.10.2018 05:00,2,20-0%.,16,15.6,
05.10.2018 23:00,2,20-0%.,16,17.2,
05.10.2018 17:00,6,20-0%.,16,15.6,
05.10.2018 11:00,4,50%.,16,15.6,
05.10.2018 05:00,3,70 -80%.,16,15.6,
04.10.2018 23:00,6,20-0%.,16,16.1,
04.10.2018 17:00,8,50%.,16,16.7,
04.10.2018 11:00,4,70 -80%.,11,16.1,
04.10.2018 05:00,2,70 -80%.,16,17.2,
03.10.2018 23:00,5,70 -80%.,16,17.8,Signs of precipitation
03.10.2018 17:00,5,100%.,16,17.8,
03.10.2018 11:00,4,70 -80%.,14,16.1,
03.10.2018 05:00,2,70 -80%.,16,15.6,
02.10.2018 23:00,0,70 -80%.,16,15.6,
02.10.2018 17:00,5,50%.,16,16.7,
02.10.2018 11:00,5,70 -80%.,14,15,
02.10.2018 05:00,3,70 -80%.,16,17.2,
01.10.2018 23:00,2,50%.,16,13.9,
01.10.2018 17:00,7,50%.,16,11.1,
01.10.2018 11:00,5,50%.,16,14.4,
01.10.2018 05:00,2,50%.,16,15.6,
30.09.2018 23:00,3,50%.,16,15.6,
30.09.2018 17:00,6,70 -80%.,16,16.1,
30.09.2018 11:00,3,20-0%.,16,15.6,
30.09.2018 05:00,0,Cloudless,16,15,
29.09.2018 23:00,2,70 -80%.,16,16.1,
29.09.2018 17:00,5,20-0%.,16,15,
29.09.2018 11:00,0,20-0%.,16,13.9,
29.09.2018 05:00,2,70 -80%.,16,15,
28.09.2018 23:00,0,100%.,12,16.1,
28.09.2018 17:00,6,70 -80%.,16,16.7,
28.09.2018 11:00,3,100%.,4.8,17.2,
28.09.2018 05:00,0,100%.,4,16.7,
27.09.2018 23:00,2,20-0%.,16,16.1,
27.09.2018 17:00,6,50%.,11,16.7,
27.09.2018 11:00,5,70 -80%.,2.4,16.7,
27.09.2018 05:00,3,20-0%.,11,16.7,
26.09.2018 23:00,0,70 -80%.,14,16.7,
26.09.2018 17:00,7,50%.,16,16.1,
26.09.2018 11:00,4,20-0%.,11,16.1,
26.09.2018 05:00,0,100%.,9,15.6,
25.09.2018 23:00,4,70 -80%.,16,15,
25.09.2018 17:00,6,20-0%.,16,15,
25.09.2018 11:00,2,100%.,12,15,
25.09.2018 05:00,2,100%.,14,15,
24.09.2018 23:00,3,70 -80%.,16,14.4,
24.09.2018 17:00,6,50%.,16,15,
24.09.2018 11:00,4,70 -80%.,14,14.4,
24.09.2018 05:00,0,100%.,16,15.6,
23.09.2018 23:00,3,70 -80%.,16,16.1,
23.09.2018 17:00,6,20-0%.,16,15.6,
23.09.2018 11:00,4,50%.,16,15.6,
23.09.2018 05:00,0,50%.,16,15.6,
22.09.2018 23:00,3,50%.,16,16.1,
22.09.2018 17:00,8,50%.,16,17,
22.09.2018 11:00,5,50%.,14,16.7,
22.09.2018 05:00,3,100%.,12,16.7,
21.09.2018 23:00,3,20-0%.,16,16.7,
21.09.2018 20:00,5,50%.,16,16.1,
21.09.2018 17:00,5,50%.,16,16.1,
21.09.2018 11:00,4,20-0%.,9,16.7,
21.09.2018 05:00,2,70 -80%.,16,15.6,
20.09.2018 23:00,3,70 -80%.,16,16.1,
20.09.2018 17:00,4,20-0%.,16,17.2,
20.09.2018 11:00,2,50%.,12,15.6,
20.09.2018 05:00,0,20-0%.,16,14.4,
19.09.2018 23:00,0,Cloudless,16,16.1,
19.09.2018 17:00,6,20-0%.,16,16,
19.09.2018 11:00,4,20-0%.,14,15.6,
19.09.2018 05:00,0,20-0%.,14,15,
18.09.2018 23:00,3,20-0%.,16,15.6,
18.09.2018 17:00,6,20-0%.,16,14.4,
18.09.2018 11:00,2,Cloudless,16,13.9,
18.09.2018 05:00,0,20-0%.,16,14,
17.09.2018 23:00,3,Cloudless,16,16.1,
17.09.2018 17:00,7,Cloudless,16,15,
17.09.2018 11:00,2,50%.,16,14.4,
17.09.2018 05:00,0,Cloudless,16,13.9,
16.09.2018 23:00,2,Cloudless,16,14.4,
16.09.2018 17:00,7,Cloudless,16,16.1,
16.09.2018 11:00,4,Cloudless,16,16.7,
16.09.2018 05:00,2,Cloudless,16,16.1,
15.09.2018 23:00,3,Cloudless,16,16.7,
15.09.2018 17:00,7,Cloudless,16,15,
15.09.2018 11:00,2,Cloudless,16,16.1,
15.09.2018 05:00,3,20-0%.,16,17.2,
14.09.2018 23:00,3,Cloudless,16,16.1,
14.09.2018 17:00,8,Cloudless,16,12.2,
14.09.2018 11:00,4,Cloudless,16,17.2,
14.09.2018 05:00,0,Cloudless,16,16.1,
13.09.2018 23:00,2,Cloudless,16,16.7,
13.09.2018 17:00,7,Cloudless,16,15,
13.09.2018 11:00,4,Cloudless,16,17.8,
13.09.2018 05:00,0,20-0%.,16,16.7,
12.09.2018 23:00,3,20-0%.,16,17.2,
12.09.2018 17:00,6,20-0%.,16,16.7,
12.09.2018 11:00,0,50%.,14,15,
12.09.2018 05:00,3,70 -80%.,16,16.1,
11.09.2018 23:00,3,50%.,16,17.2,
11.09.2018 17:00,4,Cloudless,16,16.1,
11.09.2018 11:00,3,70 -80%.,12,15.6,
11.09.2018 05:00,3,100%.,14,16.7,
10.09.2018 23:00,2,70 -80%.,12,17.8,
10.09.2018 17:00,5,Cloudless,16,17.2,
10.09.2018 11:00,3,20-0%.,14,16.7,
10.09.2018 05:00,3,100%.,11,17.2,
09.09.2018 23:00,2,20-0%.,12,17.8,
09.09.2018 17:00,5,20-0%.,16,17.8,
09.09.2018 11:00,2,20-0%.,9,17.8,
09.09.2018 05:00,2,The sky is not visible due to fog and/or other meteorological phenomena.,0.8,17.8,
08.09.2018 23:00,0,100%.,2.8,17.8,
08.09.2018 17:00,5,70 -80%.,6,17.8,
08.09.2018 11:00,4,50%.,6,17.2,
08.09.2018 05:00,0,The sky is not visible due to fog and/or other meteorological phenomena.,0.8,17.8,
07.09.2018 23:00,2,100%.,3.2,17.8,
07.09.2018 17:00,6,20-0%.,16,16.7,
07.09.2018 11:00,5,20-0%.,9,16.7,
07.09.2018 05:00,2,100%.,12,16.1,
06.09.2018 23:00,4,100%.,14,16.7,
06.09.2018 17:00,7,20-0%.,16,16.1,
06.09.2018 11:00,4,100%.,14,16.1,
06.09.2018 05:00,3,100%.,14,16.7,
05.09.2018 23:00,2,100%.,16,17.2,
05.09.2018 17:00,8,100%.,16,16.7,
05.09.2018 11:00,4,100%.,12,16.7,
05.09.2018 05:00,3,100%.,16,16.7,
04.09.2018 23:00,2,100%.,16,16.7,
04.09.2018 17:00,8,100%.,16,16.1,
04.09.2018 11:00,3,100%.,12,17.2,
04.09.2018 08:00,4,100%.,16,16.7,
04.09.2018 05:00,4,100%.,16,16.7,
03.09.2018 23:00,3,100%.,16,17.2,
03.09.2018 17:00,7,100%.,16,18.3,
03.09.2018 11:00,4,100%.,16,16.7,
03.09.2018 05:00,3,100%.,16,16.1,
02.09.2018 23:00,2,100%.,16,16.7,
02.09.2018 17:00,7,Cloudless,16,16.7,
02.09.2018 11:00,3,100%.,16,16.7,
02.09.2018 05:00,5,100%.,16,15.6,
01.09.2018 23:00,2,70 -80%.,16,18.3,
01.09.2018 17:00,5,20-0%.,16,16.7,
01.09.2018 11:00,3,70 -80%.,16,16.7,
01.09.2018 05:00,2,20-0%.,16,16.1,
31.08.2018 23:00,0,20-0%.,16,17.8,
31.08.2018 17:00,6,50%.,16,17.2,
31.08.2018 11:00,5,Cloudless,16,17.8,
31.08.2018 05:00,3,Cloudless,16,16.1,
30.08.2018 23:00,0,Cloudless,16,16.7,
30.08.2018 17:00,7,50%.,16,15.6,
30.08.2018 11:00,4,50%.,14,16.1,
30.08.2018 05:00,2,20-0%.,16,16.1,
29.08.2018 23:00,2,20-0%.,16,16.1,
29.08.2018 17:00,7,20-0%.,16,17.2,
29.08.2018 11:00,4,70 -80%.,14,17.2,
29.08.2018 05:00,2,70 -80%.,16,17.2,
28.08.2018 23:00,5,20-0%.,16,17.2,
28.08.2018 17:00,7,50%.,16,17.2,
28.08.2018 11:00,5,70 -80%.,11,16.1,
28.08.2018 05:00,2,70 -80%.,16,16.7,
27.08.2018 23:00,4,50%.,16,16.7,
27.08.2018 17:00,7,50%.,16,16.7,
27.08.2018 11:00,3,70 -80%.,11,16.1,
27.08.2018 05:00,2,100%.,14,15.6,
26.08.2018 23:00,4,50%.,16,16.7,
26.08.2018 17:00,8,20-0%.,16,17.2,
26.08.2018 11:00,2,20-0%.,11,16.7,
26.08.2018 05:00,2,100%.,14,17.2,
25.08.2018 23:00,4,70 -80%.,12,17.2,
25.08.2018 17:00,7,20-0%.,12,17.2,
25.08.2018 11:00,3,70 -80%.,8,16.7,
25.08.2018 05:00,2,50%.,11,16.7,
24.08.2018 23:00,2,50%.,12,16.7,
24.08.2018 17:00,6,70 -80%.,11,17.2,
24.08.2018 11:00,4,70 -80%.,8,16.7,
24.08.2018 05:00,2,100%.,9,17.2,
23.08.2018 23:00,3,20-0%.,12,17.2,
23.08.2018 17:00,7,20-0%.,14,17.8,
23.08.2018 11:00,5,20-0%.,12,17.8,
23.08.2018 05:00,0,70 -80%.,14,17.8,
22.08.2018 23:00,4,20-0%.,16,17.8,
22.08.2018 17:00,6,Cloudless,16,17.8,
22.08.2018 11:00,6,50%.,16,18.3,
22.08.2018 05:00,2,100%.,12,17.2,
21.08.2018 23:00,4,70 -80%.,16,18.3,
21.08.2018 17:00,5,20-0%.,16,18.9,
21.08.2018 11:00,4,70 -80%.,12,18.3,
21.08.2018 05:00,3,100%.,14,18.3,
20.08.2018 17:00,5,50%.,14,18.3,
20.08.2018 11:00,0,70 -80%.,14,18.3,
